"Designator","MidX","MidY","Rotation","Layer"
"C1",133.1,-99.9,180,"top"
"C2",130,-102.3,270,"top"
"C3",138.65,-115.65,270,"top"
"C4",137.05,-115.65,270,"top"
"C5",135.75,-103.1375,270,"top"
"C6",139.7,-102.4,0,"top"
"C7",139.7,-104,0,"top"
"C8",133.6,-106.3,90,"top"
"C9",141.9,-118.1,270,"top"
"C10",152.6,-118.7,270,"top"
"C11",147.2,-106,0,"top"
"C12",154.2,-116.8,270,"top"
"C13",155.6,-111,270,"top"
"C14",142.8,-114.4,0,"top"
"C15",144.2125,-116,180,"top"
"D1",131.85,-110.1,90,"top"
"D2",131.85,-113.7,270,"top"
"D3",130.15,-110.1,90,"top"
"D4",130.15,-113.7,270,"top"
"D5",130.2,-107.1,90,"top"
"D6",133.5,-113.7,270,"top"
"D7",133.5,-110.1,90,"top"
"D8",143,-126,90,"top"
"D9",146.2,-126,90,"top"
"D10",144.6,-126,90,"top"
"D11",149.4,-126,90,"top"
"D12",147.8,-126,90,"top"
"L1",137.3,-99.95,0,"top"
"R1",140.8,-108.7,270,"top"
"R2",139.2,-108.7,270,"top"
"R3",143.55,-109.85,270,"top"
"R4",136.8,-106.3,270,"top"
"R5",135.2,-106.3,90,"top"
"R6",132,-106.3,270,"top"
"R7",157.2,-115.1,90,"top"
"R8",149.8,-118.7,270,"top"
"R9",157.2,-112,270,"top"
"R10",144.7,-118.8,90,"top"
"R11",143,-122.6,270,"top"
"R12",146.2,-122.6,270,"top"
"R13",144.6,-122.6,270,"top"
"R14",149.4,-122.6,270,"top"
"R15",147.8,-122.6,270,"top"
"U1",137.55,-112.15,90,"top"
"U2",133.1,-102.7,270,"top"
"U3",149.6,-112,180,"top"
